wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cI                                                                                                          rFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
32,3,3,64,8,8,1,1,144.625,1.11425,1.21655,1.10642,1.14315,blas_bug,3.44828,3.40816,3.41156,2.23705,1.75965,1.38287,2.38619,2.31106,2.86286,2.63263
64,3,3,64,8,8,1,1,289.1,2.13718,2.13234,2.05287,1.99203,blas_bug,4.47143,4.45398,4.26356,4.49911,2.37441,2.23214,3.25974,4.30513,1.9543,1.89094
128,3,3,64,8,8,1,1,578.3,3.95118,4.19667,3.88837,3.85462,blas_bug,6.48333,6.33418,6.13537,9.63208,3.57429,4.17167,4.97426,3.39122,3.63116,3.7609
256,3,3,64,8,8,1,1,1157.7,8.1371,8.22131,8.01111,7.46567,blas_bug,10.5479,10.5542,9.85882,20.0577,6.35063,7.94921,8.69828,6.89726,7.17286,7.17143
512,3,3,64,8,8,1,1,2316.9,15.775,16.98,16.2839,15.2853,blas_bug,19.8385,18.2536,17.6138,41.7385,11.8744,15.2848,16.5484,12.5075,14.5857,13.9568
32,3,3,128,8,8,1,1,291.9,2.11688,2.23661,2.11519,2.15905,blas_bug,6.87945,6.90959,6.89452,3.23032,3.53916,2.96982,4.9802,4.45752,2.004,1.80578
64,3,3,128,8,8,1,1,576.5,3.97559,4.24322,3.98095,3.92891,blas_bug,8.80526,8.93214,8.49661,6.78378,4.76667,4.92549,6.64474,3.348,3.57143,3.41973
128,3,3,128,8,8,1,1,1154.4,7.95397,8.26393,7.91875,7.72154,blas_bug,13.2763,12.68,12.53,13.9972,7.27826,8.52712,10.3796,6.4,7.39265,6.67333
256,3,3,128,8,8,1,1,2309.6,15.3727,16.5355,15.6406,14.6429,blas_bug,21.7783,20.3,20,27.9778,13.2263,15.3182,17.7448,12.5268,14.0222,13.4447
512,3,3,128,8,8,1,1,4618.4,31.4824,34.0667,30.6588,30.1118,blas_bug,38.6385,35.9429,35.2533,57.3778,23.6818,29.7882,31.7375,25.07,28.3778,25.875
32,3,3,256,8,8,1,1,575.9,4.27436,4.61743,4.33966,4.4,blas_bug,14.4571,14.3639,13.9528,5.43587,7.13239,6.43333,9.94314,3.61367,3.72519,3.5035
64,3,3,256,8,8,1,1,1153.9,7.94444,8.11774,8.29508,7.81406,blas_bug,17.5655,17.9071,17.6345,11.1467,9.57736,9.83725,13.4316,6.48333,7.37971,6.49481
128,3,3,256,8,8,1,1,2308.8,15.9781,16.1323,15.5303,15.2176,blas_bug,26.8316,25.2333,24.1429,22.1087,14.3657,16.78,20.016,12.6275,14.4229,12.8718
256,3,3,256,8,8,1,1,4615.7,31.45,32.575,29.7471,29.7412,blas_bug,41.7,39.3923,40.1385,45.65,24.3429,30.2412,34.26,25.515,28.0722,25.195
512,3,3,256,8,8,1,1,9235.4,61.6667,68.75,61.2111,60.0556,blas_bug,78.6714,70.675,70.2875,89.9333,45.4,59.6111,65.5375,48.7091,56.6556,50.6
32,3,3,512,8,8,1,1,1156.5,8.79655,9.06607,8.82456,8.51525,blas_bug,27.1316,27.0316,26.6263,9.95686,14.2472,12.361,19.9846,6.90959,7.64091,6.63684
64,3,3,512,8,8,1,1,2314.4,15.9313,16.8833,15.5758,16.0344,blas_bug,34.4867,35.0333,34.6333,18.8741,19.0259,19.137,26.5579,12.8949,14.3429,12.505
128,3,3,512,8,8,1,1,4628.6,30.9941,32.0187,30.3353,31.6062,blas_bug,50.58,50.52,49.8,37.6786,28.65,32.8,40.6615,25.495,28.2444,25.34
256,3,3,512,8,8,1,1,9259,61.5667,64.175,59.4333,59.7889,blas_bug,83.5167,78.4,78.5286,76.8286,48.6091,61.3111,68.85,49.2364,56.4222,51.2
512,3,3,512,8,8,1,1,18521.3,122.18,137.275,123.18,119.64,blas_bug,155.05,140.65,138.65,157.025,90.7667,116.38,123.12,97.0333,113.54,103.3
32,3,3,3,16,16,1,1,29.8353,1.08207,1.08013,1.08268,1.07656,blas_bug,0.913686,0.952762,0.910364,3.88062,0.634898,0.568523,0.712963,1.00582,0.99246,1.13122
64,3,3,3,16,16,1,1,59.4111,0.825413,0.82603,0.82798,0.818494,blas_bug,0.637357,0.66885,0.631818,8.87719,0.461347,0.392852,0.539374,1.88943,1.82847,2.11224
128,3,3,3,16,16,1,1,118.86,1.2681,1.18298,1.2285,1.17741,blas_bug,1.01091,1.04167,1.01789,19.4259,0.708499,0.69986,0.863276,3.59643,3.54296,4.10738
256,3,3,3,16,16,1,1,237.9,1.93822,1.98929,1.92692,1.99522,blas_bug,1.82109,1.75684,1.80144,39.7308,1.20773,1.32032,1.50841,7.14085,7.04648,8.18226
512,3,3,3,16,16,1,1,475.8,3.71111,3.94016,3.68088,3.88295,blas_bug,3.76391,3.50909,3.70889,80.0714,2.35991,2.9716,3.03576,6.724,5.12222,8.28852
32,3,3,32,16,16,1,1,291.35,2.6267,2.53737,2.56872,2.51759,blas_bug,4.64537,4.84327,4.65413,5.29474,3.43014,2.05533,3.87154,4.79429,1.79355,1.90456
64,3,3,32,16,16,1,1,582.3,4.39561,4.39825,4.41228,4.33621,blas_bug,6.51429,6.82973,6.4641,11.7,4.51532,3.56525,5.16939,3.28562,3.12938,3.53169
128,3,3,32,16,16,1,1,1164.4,8.2541,8.26557,8.20164,8.09355,blas_bug,10.4959,10.425,10.7213,24.2571,7.10141,6.53766,8.06032,6.11707,6.04167,6.69067
256,3,3,32,16,16,1,1,2328.8,15.5182,16.271,15.95,15.5333,blas_bug,17.8929,18.2786,18.0429,46.4727,12.6375,12.3463,13.6649,12.0214,11.7605,13.1974
512,3,3,32,16,16,1,1,4662.7,31.0294,31.2688,30.8118,30.2647,blas_bug,33.8188,33.2188,32.4312,96.1667,22.4739,24.0524,25.025,23.6773,24.5905,26.8
32,3,3,64,16,16,1,1,578.5,4.60826,5.07879,4.64815,4.97921,blas_bug,9.85294,9.84038,9.40185,7.02361,7.1,4.54636,7.86406,3.26993,3.08889,3.32252
64,3,3,64,16,16,1,1,1156.6,8.17419,8.8386,8.20328,8.65517,blas_bug,13.3921,13.4711,12.9538,14.62,9.77885,7.12535,10.9326,5.63933,6.14512,6.04643
128,3,3,64,16,16,1,1,2313.2,15.6667,15.9906,15.9344,15.6625,blas_bug,20.828,20.5,20.236,29.2056,14.54,12.93,16.0125,11.1689,11.3636,12.0071
256,3,3,64,16,16,1,1,4631.3,30.7882,31.4059,31.3235,29.8529,blas_bug,35.9133,35.84,34.9467,59.7556,24.0455,23.4773,27.0158,21.6083,23.7636,23.3409
512,3,3,64,16,16,1,1,9265.1,59.1889,61.0333,59.9222,59.8889,blas_bug,64.825,64.5875,63.3,111.24,43.6917,46.4818,49.6455,43.1667,47.2455,47.9273
32,3,3,128,16,16,1,1,1153,8.97143,9.38333,9.01429,9.17636,blas_bug,18.8222,19.25,19.3654,10.146,14.8029,8.97679,16.1452,5.88941,6.03133,5.97857
64,3,3,128,16,16,1,1,2306.4,15.6906,16.9633,16.0594,16.0688,blas_bug,26.325,26.48,25.315,20.716,19.037,14.5286,21.4083,10.6681,11.4818,11.2533
128,3,3,128,16,16,1,1,4617.3,30.5706,30.9294,30.6,30.9059,blas_bug,39.8692,40.4077,39.3846,41.1923,28.4278,25.895,32.5312,21.112,22.0609,22.6174
