wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,PartiallyUnrolledInputExplicitOutPaddingConv,PartiallyUnrolledInputExplicitPaddingConv
64,3,3,256,32,32,1,1,164,2.3076,2.40191,2.34696,2.58634,2.875,2.9985,2.88218,3.15566,2.07335,3.1087,2.90318,3.125,4.03427,2.50125,2.4284
128,3,3,256,32,32,1,1,324.875,2.94559,2.82303,2.84517,2.80447,3.43151,3.26797,3.41327,3.19108,3.51573,3.7782,3.49479,4.028,4.88835,3.71481,3.85769
256,3,3,256,32,32,1,1,650,5.35638,3.78195,4.95792,3.68566,5.89412,4.31197,6.12195,4.21639,6.35759,6.5,5.92059,6.22222,7.14085,5.89118,4.96324
512,3,3,256,32,32,1,1,1310.25,6.52597,5.86047,6.89384,5.95238,7.52985,6.47436,7.75,6.60855,13.0769,7.43015,7.75385,8.2418,8.40417,7.60227,7.94048
32,3,3,512,32,32,1,1,162.063,3.31291,3.63768,3.36745,3.80682,4.61697,4.73349,4.68458,4.77143,1.49925,5.52198,4.63426,5.85465,5.56944,2.55357,2.50875
64,3,3,512,32,32,1,1,326.125,4.0504,4.61468,4.16875,4.18542,5.28421,5.32632,5.45924,5.20103,2.76381,6.30625,5.36436,6.5487,6.09036,3.88953,3.72222
128,3,3,512,32,32,1,1,652.5,5.18814,5.11735,5.54121,5.10204,6.84932,6.45833,6.75,6.25,4.74292,7.84766,6.88014,8.41667,8.14919,4.74764,4.21008
256,3,3,512,32,32,1,1,1306.5,8.4,6.98958,7.98413,7.02083,10.125,8.58051,10.6489,8.52966,8.68534,11.6977,10.734,12.5938,11.15,8.06452,7.62879
512,3,3,512,32,32,1,1,2631.25,13.8041,11.7267,13.1645,11.2111,14.8235,12.4573,15.1667,12.7937,17.2672,16.1935,15.7891,17.3707,14.8603,13.7095,13.4934
32,3,3,3,64,64,1,1,4.42325,0.466853,0.501755,0.462766,0.487805,0.304507,0.388802,0.297414,0.36523,1.99402,0.315259,0.263713,0.326371,1.97826,1.88868,1.83333
64,3,3,3,64,64,1,1,8.95982,0.497018,0.513077,0.522727,0.541126,0.398923,0.459559,0.38373,0.446429,3.09259,0.38432,0.328248,0.481936,2.13298,1.93243,2.17641
128,3,3,3,64,64,1,1,17.5431,0.52521,0.47238,0.528511,0.469043,0.495545,0.398288,0.628931,0.407166,5.62079,0.506326,0.508384,0.517322,2.52904,2.26357,2.57308
256,3,3,3,64,64,1,1,35.2,0.830017,0.686813,0.860585,0.69,0.879174,0.646831,0.884276,0.680272,12.5938,0.8625,0.846024,0.869358,4.34052,4.36304,4.61927
512,3,3,3,64,64,1,1,70.4375,0.875,0.67012,0.873258,0.798246,0.863558,0.620968,0.863558,0.679104,31.625,1.04054,1.50678,0.90343,4.55227,3.65693,4.54054
32,3,3,32,64,64,1,1,37.75,1.18824,1.17925,1.18322,1.16453,1.47279,1.38504,1.51591,1.37569,2.09479,1.57469,1.04603,1.36444,2.65476,2.07335,2.09937
64,3,3,32,64,64,1,1,76.0714,1.54154,1.45422,1.48442,1.46272,1.71821,1.63725,1.72414,1.65728,3.16614,1.80686,1.34249,1.58202,3.01807,2.30991,2.46463
128,3,3,32,64,64,1,1,152.5,2.03557,1.97826,2.04286,2.0502,2.12872,2.04082,2.08854,2.09167,5.77874,2.07438,1.96667,2.08195,3.68248,3.74813,2.92587
256,3,3,32,64,64,1,1,302.625,2.89884,2.42718,2.91279,2.38214,2.88362,2.43325,2.94559,2.45956,13.6689,3.01506,2.72826,3.07209,6.80743,6.75676,7.05634
512,3,3,32,64,64,1,1,610.75,4.0752,3.36074,4.002,3.26786,3.93898,3.28947,4.004,3.2371,32.2344,4.04032,3.73321,3.98214,8.45833,6.62829,7.36765
32,3,3,64,64,64,1,1,79.8214,2.03252,2.35563,2.02733,2.30645,2.72962,2.84605,2.79306,2.80726,2.01506,2.91424,1.93629,2.41908,3.87984,2.37678,2.38452
64,3,3,64,64,64,1,1,157.688,2.5625,2.53409,2.5075,2.54822,3.08436,3.10185,3.0256,3.08796,3.38851,3.10031,2.42961,3.00449,4.47545,2.72554,2.58763
128,3,3,64,64,64,1,1,318.125,3.10714,3.23387,3.16038,3.25487,3.60072,3.34667,3.58036,3.38851,6.33861,3.78977,3.05335,3.45,5.51923,4.26907,4.4933
256,3,3,64,64,64,1,1,652.75,5.29211,4.03831,5.49725,4.08943,5.55495,4.36739,5.83046,4.39693,15.1029,5.88235,5.45652,5.94412,9.45283,8.11694,8.79825
512,3,3,64,64,64,1,1,1274.75,7.35662,5.80172,7.0493,5.8046,7.65909,6.28125,7.54478,6.19753,34.2833,7.40074,7.16786,7.79615,11.4943,9.56604,10.6649
32,3,3,128,64,64,1,1,162.313,3.95866,4.14256,3.80114,4.15909,5.52198,5.56944,5.44022,5.75862,2.0875,5.37903,4.08943,5.1199,5.49725,2.50875,2.70161
64,3,3,128,64,64,1,1,331.875,4.94363,4.48661,4.6729,4.6986,6.25938,6.31875,6.26563,6.4359,4.006,6.08735,4.83894,6.1128,6.05723,3.82443,3.97222
128,3,3,128,64,64,1,1,645.5,6.43269,5.3617,6.18293,5.36702,7.96429,7.375,7.82422,7.4375,7.55597,7.74231,6.55195,8.16935,7.51119,6.0994,5.90882
256,3,3,128,64,64,1,1,1294.5,9.82843,7.47388,10.08,7.35294,11.7442,9.5283,11.392,9.39352,16.6917,11.7267,9.55189,11.2611,12.6375,8.22951,8.75431
512,3,3,128,64,64,1,1,2608,14.8309,11.7616,14.25,11.8081,15.5,13.1579,15.4242,12.8205,35.9107,15.4167,14.0833,15.6953,17.9643,15.2955,15.3636
32,3,3,256,64,64,1,1,325.5,9.58019,9.03125,9.48113,9.15909,14.0833,14.4714,14.1111,14.5857,2.79028,16.2097,10.6094,16.25,7.38603,4.03,4.31034
64,3,3,256,64,64,1,1,651.75,10.766,10.045,10.8245,10.352,15,15,15.303,15.1818,5.34574,17.5862,12,17.7241,8.84211,4.60092,5.06313
128,3,3,256,64,64,1,1,1299.5,13.1974,12.2378,13.2895,12.3049,17.4138,16.8,17.4397,16.725,9.39352,20.39,14.3143,20.54,12.8333,5.95833,6.1821
256,3,3,256,64,64,1,1,2657.25,19.1296,15.9453,20.01,16.0234,26.0375,20.6,23.7273,21.2604,19.8846,25.775,19.5385,26.3816,19.7596,12.3354,12.5875
512,3,3,256,64,64,1,1,5278,28.4583,22.6848,28.6528,22.9205,31.3125,27.3289,31.2353,27.6711,41.0577,33.9333,28.9167,34.6833,28.6389,23.625,24.4048
32,3,3,512,64,64,1,1,673.25,19.5385,19.7404,19.3558,20.14,28,29.5833,28.25,29.5882,3.61511,35.15,21.9783,33.8167,13.3289,5.21354,4.71028
