wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 128, 16, 16, 1, 1, 1153, 6.74133, 17.2414, 10.146, 14.8029, 8.97679, 16.1452, 5.88941, 6.03133, 5.97857
64, 3, 3, 128, 16, 16, 1, 1, 2306.4, 11.3333, 22.2913, 20.716, 19.037, 14.5286, 21.4083, 10.6681, 11.4818, 11.2533
128, 3, 3, 128, 16, 16, 1, 1, 4617.3, 20.624, 30.9, 41.1923, 28.4278, 25.895, 32.5312, 21.112, 22.0609, 22.6174
256, 3, 3, 128, 16, 16, 1, 1, 9240.4, 39.3, 50.32, 83.7429, 47.6273, 47.2727, 53.93, 41.5154, 45.2333, 45.6917
512, 3, 3, 128, 16, 16, 1, 1, 18482.5, 77.9857, 87.7833, 167.933, 84.8333, 91.0667, 97.9167, 80.3286, 86.6833, 89.8
32, 3, 3, 256, 16, 16, 1, 1, 2303.8, 13.0308, 34.3267, 16.3968, 29.1667, 19.1407, 32.3875, 12.0071, 12.1357, 11.6465
64, 3, 3, 256, 16, 16, 1, 1, 4613.8, 22.4174, 44.2, 33.6867, 38.4571, 28.9222, 42.45, 21.8, 23.1045, 22.1478
128, 3, 3, 256, 16, 16, 1, 1, 9236.6, 41.75, 63.5625, 66.95, 57.8, 51.15, 65.0625, 41.8, 45.5545, 45.0583
256, 3, 3, 256, 16, 16, 1, 1, 18473.2, 78.5857, 99.4333, 133.225, 94.35, 92.8667, 106.6, 81.1143, 90.3, 87.2833
512, 3, 3, 256, 16, 16, 1, 1, 36950.8, 152.4, 178.167, 258.8, 168.6, 180.1, 195.067, 155.575, 176.867, 175.6
32, 3, 3, 512, 16, 16, 1, 1, 4623.6, 25.1286, 69.3125, 29.7, 55.7, 33.5267, 62.95, 25.475, 25.495, 24.4333
64, 3, 3, 512, 16, 16, 1, 1, 9257.5, 44.725, 87.4833, 58.1111, 77.3857, 55.9444, 83.9167, 43.8583, 46.3, 46.2091
128, 3, 3, 512, 16, 16, 1, 1, 18515.4, 81.0286, 126.65, 114.54, 114.4, 98.2833, 125.525, 85.3167, 90.9833, 87.35
256, 3, 3, 512, 16, 16, 1, 1, 37026, 153.8, 198.967, 227.033, 186.167, 183.7, 213.167, 157.775, 183.433, 175.933
512, 3, 3, 512, 16, 16, 1, 1, 74062, 302.55, 350.5, 449.1, 348.55, 355.65, 388.2, 306.45, 342.3, 341.55
















32, 3, 3, 3, 256, 256, 1, 1, 7608, 192.367, 100.68, 682.5, 130.225, 89.85, 120.48, 315.7, 294.8, 316.4
64, 3, 3, 3, 256, 256, 1, 1, 15306.7, 224.667, 133.9, 1384.8, 164.625, 122.32, 156.45, 438.9, 396.65, 453.15
128, 3, 3, 3, 256, 256, 1, 1, 30430.6, 308.05, 228.267, 2795.1, 262.35, 217.267, 250.9, 809, 704.8, 843.8
256, 3, 3, 3, 256, 256, 1, 1, 60904.9, 475.5, 378.9, mem, 413.8, 367.3, 398.9, 1417.5, 1166.7, 1421.4
512, 3, 3, 3, 256, 256, 1, 1, 121824, 749.1, 679.1, mem, 718.3, 660.1, 717.3, 2388.4, 1904.4, 2390.6
32, 3, 3, 32, 256, 256, 1, 1, 74602.6, 542.9, 723.2, 904.2, 1038.6, 491.25, 856.1, 597.6, 535.9, 557.2
64, 3, 3, 32, 256, 256, 1, 1, 149129, 835.4, 999.2, 1782.4, 1317.5, 781.7, 1147.6, 889.6, 833.2, 866.3
128, 3, 3, 32, 256, 256, 1, 1, 300151, 1440, 1594.3, mem, 1901.3, 1422.8, 1743.5, 1710.9, 1562.8, 1680.7
256, 3, 3, 32, 256, 256, 1, 1, 596214, 2640, 2763.9, mem, 3087.1, 2630.3, 2890.6, 3086.4, 2799.7, 3014.3
512, 3, 3, 32, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 64, 256, 256, 1, 1, 148184, mem, mem, mem, mem, mem, mem, mem, 874, 892.5
64, 3, 3, 64, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 64, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 64, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 64, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 128, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 128, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 128, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 128, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 128, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 256, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 256, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 256, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 256, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 256, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 512, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 512, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 512, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 512, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 512, 256, 256, 1, 1, mem, mem, n/a, mem, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 3, 4, 4, 2, 2, 1.86828, 0.0608569, n/a, 0.759484, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 3, 4, 4, 2, 2, 3.73582, 0.0901063, n/a, 1.51606, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 3, 4, 4, 2, 2, 7.47164, 0.150105, n/a, 2.506, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 3, 4, 4, 2, 2, 14.9294, 0.266862, n/a, 6.58289, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 3, 4, 4, 2, 2, 29.8647, 0.502209, n/a, 17.0833, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 32, 4, 4, 2, 2, 18.2893, 0.342134, n/a, 1.02793, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 32, 4, 4, 2, 2, 36.5643, 0.317726, n/a, 2.04163, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 32, 4, 4, 2, 2, 72.7714, 0.590118, n/a, 4.24322, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 32, 4, 4, 2, 2, 145.55, 1.13818, n/a, 10.5583, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 32, 4, 4, 2, 2, 291.4, 2.64762, n/a, 22.8261, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 64, 4, 4, 2, 2, 36.3286, 0.336768, n/a, 1.43908, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 64, 4, 4, 2, 2, 72.3, 0.611247, n/a, 2.83616, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 64, 4, 4, 2, 2, 144.575, 1.13002, n/a, 6.41899, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 64, 4, 4, 2, 2, 289.45, 2.45098, n/a, 13.7297, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 64, 4, 4, 2, 2, 579.1, 5.4967, n/a, 28.8833, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 128, 4, 4, 2, 2, 72.0857, 0.637611, n/a, 2.27545, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 128, 4, 4, 2, 2, 144.15, 1.14508, n/a, 4.62385, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 128, 4, 4, 2, 2, 288.65, 2.29862, n/a, 9.86471, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 128, 4, 4, 2, 2, 577.6, 4.93725, n/a, 20.2962, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 128, 4, 4, 2, 2, 1155.3, 10.7426, n/a, 43.2833, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 256, 4, 4, 2, 2, 144.1, 1.22195, n/a, 4.11721, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 256, 4, 4, 2, 2, 288.55, 2.39809, n/a, 8.2459, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 256, 4, 4, 2, 2, 577.5, 4.68037, n/a, 16.7033, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 256, 4, 4, 2, 2, 1155.1, 9.44151, n/a, 34.8, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 256, 4, 4, 2, 2, 2312.1, 20.38, n/a, 70.2625, n/a, n/a, n/a, n/a, n/a, n/a
