wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
256,3,3,64,4,4,2,2,2.49552,0.123609,n/a,0.563514,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,4,4,2,2,4.95545,0.192865,n/a,1.04686,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,4,4,2,2,0.627068,0.0841751,n/a,0.132485,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,4,4,2,2,1.25879,0.0952018,n/a,0.207855,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,4,4,2,2,2.5095,0.131157,n/a,0.383002,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,4,4,2,2,5.013,0.197863,n/a,0.745604,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,4,4,2,2,10.106,0.346981,n/a,1.49196,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,4,4,2,2,1.28689,0.124527,n/a,0.170799,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,4,4,2,2,2.52879,0.14559,n/a,0.31049,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,4,4,2,2,5.06768,0.215889,n/a,0.602892,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,4,4,2,2,10.208,0.352324,n/a,1.19713,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,4,4,2,2,20.376,0.635832,n/a,2.36604,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,4,4,2,2,2.53434,0.20995,n/a,0.285992,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,4,4,2,2,5.05657,0.254116,n/a,0.54978,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,4,4,2,2,10.2776,0.395649,n/a,1.07866,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,4,4,2,2,20.396,0.660766,n/a,2.13021,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,512,4,4,2,2,40.8308,1.23654,n/a,4.25678,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,3,8,8,2,2,0.0687191,0.00591877,n/a,0.117841,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,8,8,2,2,0.137665,0.00917263,n/a,0.26197,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,8,8,2,2,0.274232,0.0155589,n/a,0.507099,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,8,8,2,2,0.552097,0.0542123,n/a,0.869565,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,8,8,2,2,1.09912,0.0645995,n/a,1.69661,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,8,8,2,2,0.592071,0.0774114,n/a,0.177403,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,8,8,2,2,1.18463,0.082713,n/a,0.30012,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,8,8,2,2,2.36038,0.094679,n/a,0.589164,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,8,8,2,2,4.72642,0.118064,n/a,1.01646,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,8,8,2,2,9.48679,0.175254,n/a,2.01044,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,8,8,2,2,1.23153,0.101895,n/a,0.201288,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,8,8,2,2,2.47525,0.107273,n/a,0.344353,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,8,8,2,2,4.91863,0.134508,n/a,0.667333,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,8,8,2,2,9.84902,0.187617,n/a,1.20602,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,8,8,2,2,19.8231,0.299043,n/a,2.42512,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,8,8,2,2,2.501,0.151791,n/a,0.244238,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,8,8,2,2,5,0.160979,n/a,0.4363,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,8,8,2,2,10.066,0.220018,n/a,0.835225,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,8,8,2,2,20.092,0.322294,n/a,1.5949,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,8,8,2,2,40.0692,0.534866,n/a,3.25714,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,8,8,2,2,5.05354,0.246769,n/a,0.334582,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,8,8,2,2,10.146,0.274027,n/a,0.620074,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,8,8,2,2,20.268,0.380883,n/a,1.21283,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,8,8,2,2,40.5,0.588824,n/a,2.39904,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,8,8,2,2,81.8,1.05168,n/a,4.85728,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,8,8,2,2,10.3918,0.451354,n/a,0.558994,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,8,8,2,2,20.372,0.485728,n/a,1.06348,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,8,8,2,2,40.6538,0.704225,n/a,2.10042,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,8,8,2,2,81.9,1.14622,n/a,4.20252,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,512,8,8,2,2,163.35,2.02298,n/a,8.43167,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,3,16,16,2,2,0.27478,0.0214998,n/a,0.314133,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,16,16,2,2,0.548575,0.0680735,n/a,0.646124,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,16,16,2,2,1.10198,0.0758725,n/a,1.16893,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,16,16,2,2,2.19825,0.0853679,n/a,2.32558,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,16,16,2,2,4.38174,0.10929,n/a,4.56364,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,16,16,2,2,2.35681,0.148588,n/a,0.382124,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,16,16,2,2,4.73113,0.162581,n/a,0.753163,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,16,16,2,2,9.50189,0.225779,n/a,1.35718,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,16,16,2,2,18.9074,0.277469,n/a,2.65926,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,16,16,2,2,37.7929,0.451264,n/a,5.18247,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,16,16,2,2,4.93137,0.243951,n/a,0.450947,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,16,16,2,2,9.83922,0.257865,n/a,0.886195,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,16,16,2,2,19.7154,0.336022,n/a,1.62792,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,16,16,2,2,39.3385,0.491356,n/a,3.24194,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,16,16,2,2,80.8143,0.806452,n/a,6.47051,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,16,16,2,2,10.064,0.408831,n/a,0.595595,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,16,16,2,2,20.048,0.457875,n/a,1.10774,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,16,16,2,2,40.1538,0.59952,n/a,2.22844,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,16,16,2,2,80.5143,0.901802,n/a,4.44513,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,16,16,2,2,160.425,1.51697,n/a,9.06786,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,16,16,2,2,20.284,0.755053,n/a,0.909091,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,16,16,2,2,40.9615,0.865917,n/a,1.73993,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,16,16,2,2,81.1429,1.14155,n/a,3.43219,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,16,16,2,2,162.05,1.72828,n/a,6.81081,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,16,16,2,2,326.4,2.95765,n/a,14.1361,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,16,16,2,2,40.7923,1.49582,n/a,1.60321,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,16,16,2,2,81.4714,1.74774,n/a,3.06463,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,16,16,2,2,163.05,2.29358,n/a,6.04819,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,16,16,2,2,327.4,3.45517,n/a,11.9952,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,512,16,16,2,2,652.2,5.87326,n/a,24.5286,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,3,32,32,2,2,1.1022,0.112004,n/a,0.894454,n/a,n/a,n/a,n/a,n/a,n/a
