wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,VirtuallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.177168,0.0545256,0.0591017,0.0550964,0.0560538,0.0626174,0.0654022,0.0632511,0.0622665,0.429614,0.0531632,0.0711238,0.0719942,0.0892061,0.132626,0.112994
64,3,3,3,4,4,1,1,0.353357,0.0971817,0.106724,0.0979432,0.100604,0.105591,0.11325,0.106045,0.106838,0.854701,0.0962464,0.130378,0.131406,0.151057,0.236407,0.197826
128,3,3,3,4,4,1,1,0.707042,0.185185,0.20387,0.186754,0.191396,0.193617,0.210294,0.195127,0.197436,1.70508,0.185185,0.25025,0.251256,0.274725,0.444444,0.368015
256,3,3,3,4,4,1,1,1.42254,0.362681,0.407317,0.363043,0.373134,0.370741,0.413223,0.371111,0.378788,3.42333,0.361372,0.48878,0.489756,0.531217,0.882456,0.725362
512,3,3,3,4,4,1,1,2.85556,0.715714,0.82377,0.713475,0.733577,0.723741,0.829752,0.721583,0.739706,7.01333,0.712766,0.963462,0.965385,1.06,1.77368,1.45507
32,3,3,32,4,4,1,1,1.22439,0.444444,0.487379,0.455,0.451802,0.591716,0.613497,0.601796,0.578035,1.22805,0.486408,0.664901,0.670667,0.407317,0.641667,0.530688
64,3,3,32,4,4,1,1,2.43333,0.860684,0.937383,0.876522,0.869565,1.006,1.06316,1.02143,0.99505,2.44878,0.906306,1.23049,1.23704,0.774615,1.23951,1.02347
128,3,3,32,4,4,1,1,4.84762,1.685,1.93462,1.71186,1.70508,1.83091,2.05918,1.85741,1.83091,4.89524,1.74138,2.35581,2.36279,1.51818,2.45122,2.018
256,3,3,32,4,4,1,1,9.71818,3.38667,3.85,3.4,3.38667,3.53793,3.97692,3.54828,3.51379,9.92727,3.43,4.63182,4.63636,3.03939,4.91429,4.044
512,3,3,32,4,4,1,1,19.5667,7.11333,9.05833,6.89333,6.89333,7.26429,9.18182,7.04667,7.02,20.42,6.93333,9.3,9.30909,6.19412,9.94545,8.21538
32,3,3,64,4,4,1,1,2.29545,0.872174,0.957143,0.890265,0.884956,1.17326,1.21807,1.19048,1.14432,2.09167,0.95619,1.31299,1.325,0.753383,1.19643,0.986275
64,3,3,64,4,4,1,1,4.56364,1.69831,1.84909,1.72203,1.71017,1.99608,2.10625,2.022,1.96863,4.175,1.78571,2.43095,2.44146,1.45507,2.33256,1.92075
128,3,3,64,4,4,1,1,9.10909,3.35667,3.85385,3.38333,3.37,3.65357,4.112,3.68214,3.63214,8.40833,3.44828,4.67727,4.68636,2.88,4.65,3.82593
256,3,3,64,4,4,1,1,18.3667,7.1,8.86667,6.82667,6.76667,7.4,9.09091,7.12667,7.03333,17.05,6.9,9.30909,9.31818,6.01176,9.59091,7.93846
512,3,3,64,4,4,1,1,37.2333,14.4714,19.7167,13.9625,13.7625,14.7571,20,14.2625,14.0375,34.4667,14.05,18.7333,18.75,12.0556,19.1167,15.8714
32,3,3,128,4,4,1,1,4.44348,1.72931,1.89811,1.76316,1.75439,2.33953,2.42381,2.37209,2.28409,3.85769,1.90377,2.62308,2.64474,1.45652,2.32045,1.91132
64,3,3,128,4,4,1,1,8.85,3.38333,3.69643,3.42333,3.41333,3.99231,4.22917,4.032,3.94615,7.73077,3.55517,4.85238,4.87619,2.84444,4.57727,3.75926
128,3,3,128,4,4,1,1,17.8667,6.74667,8.74167,6.81333,6.80667,7.34286,9.27273,7.38571,7.34286,15.6143,6.92667,9.39091,9.41818,5.70556,9.15455,7.54286
256,3,3,128,4,4,1,1,36.2667,14.2375,18.5667,13.7,13.675,14.8286,19.0667,14.3143,14.225,31.675,13.85,18.6167,18.6667,12.0222,18.9,15.7
512,3,3,128,4,4,1,1,72.65,28.975,39.1333,27.65,27.5,29.575,39.7,28.275,28.1,63.75,27.825,37.2667,37.3,24.16,38,31.725
32,3,3,256,4,4,1,1,8.83333,3.47586,3.81852,3.53448,3.52759,4.70909,4.89048,4.7619,4.60455,7.55,3.81481,5.29474,5.33684,2.91143,4.66364,3.82963
64,3,3,256,4,4,1,1,17.8,6.79333,7.62143,6.86667,6.91333,7.99231,8.65,8.07692,7.96154,15.3429,7.15714,9.79091,9.83636,5.71667,9.2,7.56429
128,3,3,256,4,4,1,1,36.2,13.55,17.8167,13.6625,13.7,14.7286,18.8167,14.8714,14.7571,31.175,13.975,18.8833,18.95,11.4556,18.35,15.1286
256,3,3,256,4,4,1,1,72.5,28.55,37.2667,27.5,27.425,29.65,38.1667,28.725,28.5,62.8,27.85,37.3,37.4,24.04,37.8333,31.45
512,3,3,256,4,4,1,1,145,57.9,76.8,55.45,55.2,59.1,77.9,56.65,56.3,126,55.8,74.55,74.65,48.3,76.05,63.15
32,3,3,512,4,4,1,1,18.4167,7.02,7.77692,7.14286,7.14286,9.43636,9.82727,9.51818,9.20909,14.8714,7.71538,10.71,10.82,5.83333,9.30909,7.65714
64,3,3,512,4,4,1,1,37.9,13.65,15.2714,13.825,13.8875,16.0143,17.3,16.2143,15.9286,29.875,14.4714,19.7,19.8667,11.4111,18.2667,15.0429
128,3,3,512,4,4,1,1,73.05,27.125,35.6,27.375,27.475,29.475,37.5667,29.8,29.5,60.05,28.1,37.8667,38.0333,22.76,36.3667,30
256,3,3,512,4,4,1,1,145.6,56.95,74.15,55.2,55,59.35,76,57.55,57.05,120.3,55.9,74.85,75.05,48.2667,75.7,62.95
512,3,3,512,4,4,1,1,289.6,115.4,154.1,111.4,110.6,117.9,156.2,113.7,112.8,241.2,112,149.5,149.7,97.3,152.5,126.7
32,3,3,3,8,8,1,1,0.708451,0.205339,0.207469,0.205761,0.204499,0.212076,0.207246,0.212766,0.204286,1.0989,0.190667,0.230115,0.233333,0.326059,0.423629,0.390625
64,3,3,3,8,8,1,1,1.41408,0.370741,0.377358,0.371747,0.371111,0.378113,0.377358,0.378788,0.370741,2.19348,0.357143,0.431897,0.435217,0.6,0.785937,0.722302
128,3,3,3,8,8,1,1,2.83333,0.704225,0.721583,0.70493,0.70493,0.712057,0.721583,0.714286,0.705634,4.42609,0.691034,0.840336,0.843697,1.14943,1.52576,1.39861
256,3,3,3,8,8,1,1,5.69444,1.3726,1.40986,1.3726,1.37123,1.38082,1.40986,1.38082,1.37123,9.25455,1.35811,1.65246,1.65738,2.31591,3.08485,2.825
512,3,3,3,8,8,1,1,11.4111,2.7027,2.79444,2.7,2.7027,2.71081,2.79444,2.70811,2.7027,18.7833,2.68684,3.27097,3.27419,4.57727,6.11176,5.6
32,3,3,32,8,8,1,1,4.89524,1.69831,1.74483,1.71017,1.70847,2.032,1.99804,2.04286,1.96078,3.27419,1.79464,2.20217,2.23333,1.66557,2.17021,1.98627
64,3,3,32,8,8,1,1,9.73636,3.29032,3.35667,3.29355,3.29032,3.60714,3.60714,3.625,3.53793,6.55,3.37667,4.14,4.17083,3.20938,4.22917,3.86923
128,3,3,32,8,8,1,1,19.4,6.425,6.68667,6.45,6.45,6.75333,6.93333,6.78,6.7,13.3125,6.53125,7.97692,8.00769,6.33125,8.375,7.65714
256,3,3,32,8,8,1,1,38.7667,12.95,13.6125,12.875,12.8375,13.3,13.8375,13.2125,13.0875,27.125,12.9625,15.8571,15.8714,12.65,16.75,15.3429
512,3,3,32,8,8,1,1,78.3,26.2,28.275,26.05,25.925,26.55,28.45,26.4,26.05,54.5,26.125,31.925,32,25.325,33.5333,30.7
32,3,3,64,8,8,1,1,9.18182,3.34667,3.43667,3.36333,3.36333,4.044,3.97692,4.06,3.90385,5.66667,3.55517,4.40435,4.46957,3.11515,4.072,3.72222
64,3,3,64,8,8,1,1,18.25,6.48125,6.66667,6.50625,6.50625,7.18571,7.20714,7.20714,7.05333,11.3889,6.70667,8.26154,8.31538,6.05882,7.98462,7.30714
128,3,3,64,8,8,1,1,36.4667,12.7625,13.7375,12.825,12.8375,13.475,14.3143,13.575,13.375,23.2,13.05,16.1143,16.1857,12.0333,15.9286,14.5571
256,3,3,64,8,8,1,1,73.6,25.975,28.05,25.725,25.6,26.75,28.55,26.525,26.125,47.2333,26,31.875,31.975,24.26,32.05,29.35
512,3,3,64,8,8,1,1,148.9,52.15,57.55,51.5,51.2,52.8,58,52.2,51.65,94.7,51.85,63.15,63.25,49.1667,64.25,58.9
32,3,3,128,8,8,1,1,17.7833,6.66667,6.84,6.7,6.69333,8.13846,7.97692,8.17692,7.83846,10.5,7.15,9.16364,9.27273,6.06471,7.93846,7.26429
64,3,3,128,8,8,1,1,35.4333,12.925,13.325,13.0125,12.9875,14.4143,14.4429,14.5143,14.125,21.12,13.5,16.9833,17.1,11.8778,15.6429,14.3
128,3,3,128,8,8,1,1,71.55,25.425,27.725,25.65,25.6,26.975,28.775,27.175,26.725,42.9667,26.225,32.475,32.65,23.52,31.075,28.425
256,3,3,128,8,8,1,1,145.1,51.7,55.95,51,50.9,53.1,56.85,52.4,51.75,86.35,51.7,63.4,63.65,47.7333,62.9,57.6
512,3,3,128,8,8,1,1,291.1,103.8,115.6,102.3,102.2,105.2,116.6,103.7,103.2,172.7,103.1,125.5,125.8,96.3,127.1,116.3
32,3,3,256,8,8,1,1,35.3,13.4875,13.8,13.5625,13.5,16.5714,16.0714,16.6286,15.7857,20.64,14.7571,19.15,19.5333,12.1889,15.9857,14.6143
64,3,3,256,8,8,1,1,71.5,25.975,26.75,26.175,26.075,29.025,29,29.2,28.325,41.5333,27.4,34.4667,34.9,23.82,31.475,28.775
128,3,3,256,8,8,1,1,144.9,51.05,55.55,51.45,51.35,54,57.7,54.35,53.6,84.05,52.65,64.9,65.35,47.1,62.2,56.9
256,3,3,256,8,8,1,1,290.4,103.8,111.9,102.4,102.1,106.7,114.2,105.5,104.2,168.4,104,127,127.5,95.7,126,115.4
512,3,3,256,8,8,1,1,579.1,207.4,230.7,204.9,204.5,210.5,232.8,207.9,206.6,336.8,206.2,251,251.5,192,253.9,232.4
32,3,3,512,8,8,1,1,74.15,27.125,27.75,27.25,27.175,33.075,32.275,33.225,31.7,40.1667,30.15,38.4333,39.3667,24.26,31.75,29.025
64,3,3,512,8,8,1,1,153.2,52.05,53.7,52.4,52.35,58,58.1,58.35,56.75,80.85,55.25,68.85,69.75,47.3,62.25,56.9
128,3,3,512,8,8,1,1,297.5,102,111,102.7,102.8,107.9,115.3,108.6,107.1,162,105.6,130.3,130.7,93.5,123.2,112.8
256,3,3,512,8,8,1,1,577.5,207.3,223.6,204.7,204.3,213.3,227.9,210.8,208.4,324.3,207.8,254,255,190.9,251.3,229.9
512,3,3,512,8,8,1,1,1152.4,414.7,459.8,409.8,409.2,420.8,464,415.7,413.4,648.6,412.7,501.9,502.9,382.2,504.7,461.6
32,3,3,3,16,16,1,1,2.88857,0.81626,0.813821,0.817073,0.810484,0.798413,0.759848,0.799206,0.756391,3.43,0.757576,0.830579,0.842017,1.31974,1.52273,1.45652
64,3,3,3,16,16,1,1,5.69444,1.47059,1.48088,1.47206,1.47353,1.45507,1.42676,1.45652,1.41972,7.66429,1.41549,1.56406,1.57656,2.46098,2.85,2.73514
128,3,3,3,16,16,1,1,11.3889,2.79444,2.81667,2.79444,2.79722,2.78889,2.76216,2.78056,2.74324,16.6286,2.74054,3.04545,3.05758,4.75,5.55556,5.30526
256,3,3,3,16,16,1,1,23,5.46842,5.51579,5.47368,5.46842,5.45263,5.46316,5.45789,5.41053,33.5333,5.41579,6.03529,6.04706,9.68182,11.2444,10.8
512,3,3,3,16,16,1,1,46,11.1111,11.3778,11.1,11.2556,11.09,11.3333,11.09,11.2111,67.25,11.03,12.4444,12.4667,19.8667,24.14,22.92
32,3,3,32,16,16,1,1,19.8333,6.8,6.88,6.81333,6.85333,7.73077,7.34286,7.74615,7.36429,10.83,7.60714,8.3,8.39167,6.88667,7.92308,7.59286
64,3,3,32,16,16,1,1,39.3333,13.1875,13.3,13.25,13.225,14.4286,13.8125,14.5,13.75,22.26,13.9625,15.7286,15.8286,13.325,15.4429,14.8
128,3,3,32,16,16,1,1,78.1,25.875,26.675,26.025,26.2,27.275,27.2,27.45,26.7,45.4333,26.95,30.125,30.225,26.325,30.6,29.3
256,3,3,32,16,16,1,1,155.9,52.4,53.1,52.4,52.1,53.8,53.65,53.7,52.65,91.05,53.4,59.25,59.35,53.15,61.5,58.95
512,3,3,32,16,16,1,1,314.4,104.1,106.4,103.9,104.1,105.5,107,105.3,104.6,182.3,105,117,117.1,109.3,128.1,122.5
32,3,3,64,16,16,1,1,37.1333,13.6,13.8125,13.6625,13.7375,16.8167,15.1286,16.8667,15.0571,18.65,15.9571,17.35,17.7,12.9375,14.8857,14.2625
64,3,3,64,16,16,1,1,73.6,26.25,26.525,26.35,26.35,29.6,27.85,29.675,27.675,38.6,28.875,31.675,32.05,25.2,29.175,27.95
128,3,3,64,16,16,1,1,146.9,51.35,52.75,51.55,51.8,54.7,54.1,54.95,53.15,77.6,54.2,59.9,60.3,50.15,58.25,55.8
256,3,3,64,16,16,1,1,296.6,102.9,104.7,102.7,102.5,106.1,106.1,105.9,103.8,155.3,105.3,116.8,117.3,102.6,119,113.9
512,3,3,64,16,16,1,1,604.1,204.5,210.1,203.9,203.8,207.9,211.5,207.2,205.2,310.7,206.7,230,230.4,209.5,244.2,233.7
32,3,3,128,16,16,1,1,71.8,27.175,27.475,27.25,27.3,34.0667,30.15,34.1333,30,34.7667,33.3667,34.9333,35.8,25.225,29,27.775
64,3,3,128,16,16,1,1,143.1,52.1,52.7,52.3,52.3,59.35,55.5,59.4,55.1,69.9,58.6,63,63.95,49.5333,57.25,54.85
128,3,3,128,16,16,1,1,289.8,101.8,104.7,102.1,102.6,108.7,107.5,109,105.4,139.7,108.2,119,119.9,98.25,113.6,108.8
256,3,3,128,16,16,1,1,591.5,204,208.2,203.3,203.4,210.8,211.1,210.1,206.3,279.7,209.4,231.7,232.6,200.5,232.8,222.8
512,3,3,128,16,16,1,1,1185.9,405.4,418.5,403.9,404,412.4,421.5,410.8,406.8,559.4,410.1,456,456.8,400.2,465.6,445.7
32,3,3,256,16,16,1,1,142.8,54.25,54.75,54.45,54.45,68.5,60.3,68.65,60,68,67.05,70.7,72.35,51.35,58.5,56
64,3,3,256,16,16,1,1,290.4,103.9,105,104.3,104.2,118.8,110.8,118.9,110.1,136.1,117.3,126.8,128.5,100.3,115.3,110.4
128,3,3,256,16,16,1,1,595.6,203.2,209.5,204,205.1,217.2,215.3,217.7,211.1,271.8,216.1,238.5,240.3,198.3,228.6,218.9
256,3,3,256,16,16,1,1,1192.1,408.1,416.3,406.7,406.7,421.8,422.1,420.4,412.6,543.6,419.3,464,465.9,401.9,467,446.9
512,3,3,256,16,16,1,1,2388.6,810.6,836.8,807.7,807.8,824.9,842.5,821.8,813.7,1086.1,820.4,912.2,914.2,800.8,931.9,892.1
32,3,3,512,16,16,1,1,302.6,108.3,108.9,108.5,108.4,137.1,120.2,137.3,119.7,131.6,134.9,139.8,145,103.2,117.2,112.2
64,3,3,512,16,16,1,1,626.1,207.3,209.5,208.3,208,237.6,221.3,238,219.7,262.8,235.6,251.9,256.9,199.7,229.3,219.5
128,3,3,512,16,16,1,1,1258.3,405.8,418.1,407.3,409.5,434.4,430.3,435.4,421.8,524.8,433,475.5,480.6,392.3,452.9,433.5
256,3,3,512,16,16,1,1,2523,815.5,832.3,812.8,812.8,843.7,844,841.4,824.9,1049,839,926.2,931.5,790.8,917.5,878.9
512,3,3,512,16,16,1,1,5052.5,1620.3,1674.1,1614.9,1614.9,1649.4,1686.2,1643.6,1626.9,2096.7,1641.1,1822.7,1828.3,1573.3,1830.1,1752.3
32,3,3,3,32,32,1,1,11.4,3.25484,3.22581,3.25484,3.22581,3.15,2.91429,3.14688,2.91143,12.4333,3.1,3.13437,3.17813,5.31053,5.70556,5.57222
64,3,3,3,32,32,1,1,22.78,5.88824,5.90588,5.88824,5.89412,5.79444,5.6,5.78333,5.59444,25.9,5.70556,5.93529,5.97647,9.98182,10.76,10.55
128,3,3,3,32,32,1,1,45.6333,11.4556,11.5556,11.4444,11.5222,11.3778,11.3,11.3667,11.2444,53.55,11.2889,11.9556,11.9889,19.6,21.24,20.86
256,3,3,3,32,32,1,1,92.05,23.42,23.22,23.38,23.12,23.44,22.9,23.4,22.82,107.9,23.32,24.66,24.74,49.8333,54.4,53.2
512,3,3,3,32,32,1,1,184,46.1667,46.4667,46.1333,46.3,46.1667,46.1667,46.1333,46,215.9,46.0333,48.8667,48.9333,95.75,103.9,101.7
32,3,3,32,32,32,1,1,79.45,28.575,28.75,28.625,28.725,35.8667,29.875,35.8667,29.825,38.3,35.5333,33.5667,34.4,28.1,30.025,29.4
64,3,3,32,32,32,1,1,157.5,54.35,54.3,54.45,54.25,62.3,55.6,62.35,55.5,77.8,62.1,61.3,62.1,55.35,58.8,57.55
128,3,3,32,32,32,1,1,312.8,105.2,106.1,105.4,105.7,113.9,107.5,114,107,157,113.8,115.6,116.3,111.3,119.3,116.9
256,3,3,32,32,32,1,1,623.9,208.4,209,208.4,208.2,217.2,210.5,217.1,209.5,314.3,216.9,225,225.7,230.5,248.5,243.5
512,3,3,32,32,32,1,1,1258.7,413.5,415.8,413.5,413.3,422.4,417.2,422.2,414.7,628.3,422,442.9,443.3,457.1,495,484.4
32,3,3,64,32,32,1,1,148.6,55.35,55.8,55.45,55.75,75.1,59.65,75.15,59.55,67.45,74.6,67.4,69,53.95,56.65,55.45
64,3,3,64,32,32,1,1,294.6,105.9,106.2,106.1,106,126.2,110.1,126.2,109.9,135.4,125.6,121.4,123,105.9,112,109.5
128,3,3,64,32,32,1,1,588,205.8,208,206,207.1,226.7,212.1,226.9,211.1,271.3,226.1,227.6,229.3,214.7,230.3,225.3
256,3,3,64,32,32,1,1,1187.5,408.2,410.4,408.1,408.1,429.5,414.6,429.2,412.2,542.7,428.7,442.4,444,430.3,464.4,454.6
512,3,3,64,32,32,1,1,2418.4,811.2,817.7,810.7,811,832.4,821.6,831.7,815,1085.2,831,869.9,871.6,856.3,926.6,906.7
32,3,3,128,32,32,1,1,287.3,109.1,109.2,109.2,109.1,150.4,116.9,150.5,116.7,122.9,151.4,133.7,138.2,106.8,111.2,108.7
64,3,3,128,32,32,1,1,572.9,209.1,209,209.3,208.7,250.9,216.7,251,216.4,246,251.9,240.3,244.7,208.5,221.4,216.5
128,3,3,128,32,32,1,1,1159.1,406.9,410.4,407.2,408.5,449.2,418.3,449.2,416.2,491.9,450.2,450.2,455,410.1,440.8,431.4
256,3,3,128,32,32,1,1,2369.5,808,813.5,807.4,808.5,851,821.6,850.2,816.5,983.2,850.7,875.7,880.5,816.6,881.1,862.1
512,3,3,128,32,32,1,1,4748.7,1606.7,1620.9,1605.3,1606.1,1649.8,1629,1648.2,1614,1966.1,1648.5,1722.9,1728,1623.9,1757.2,1718.9
32,3,3,256,32,32,1,1,568.9,218.3,218.4,218.6,218.2,300.6,233.7,300.7,233.4,240.6,303.3,268.4,276.4,219,229,224.4
64,3,3,256,32,32,1,1,1157.8,418.4,418.5,418.9,418.1,501.5,433.8,501.8,433.1,480.5,504.4,482.2,489.9,421.5,450,440.7
128,3,3,256,32,32,1,1,2362.4,813.9,820.8,814.4,816.9,897.6,836.7,898,832.4,959.4,900.6,901.2,909.7,823.9,885.9,867.3
256,3,3,256,32,32,1,1,4732.3,1616.2,1624.9,1614.9,1615,1700.6,1641,1699,1630.6,1916.9,1701.4,1752,1760.5,1636.1,1766.4,1728.9
512,3,3,256,32,32,1,1,9473.2,3213.2,3244.3,3210.3,3215.1,3297.7,3260.2,3294.5,3230.8,3832,3296.9,3446,3454.9,3250.4,3517.5,3441.4
32,3,3,512,32,32,1,1,1204.9,436.5,437,437,436.6,600.4,467.3,600.8,466.8,466.8,606,539.8,555.9,427.1,450,440.5
64,3,3,512,32,32,1,1,2505.6,836.2,837.1,837.1,835.9,1002.1,867.8,1002.7,866.5,931.1,1007.3,964,979.3,824.4,881.1,861.9
128,3,3,512,32,32,1,1,5028.1,1627.4,1641.9,1628.7,1634.2,1793.4,1672.8,1794.5,1664.6,1859.2,1799,1802,1819.2,1612.9,1733.9,1697.5
256,3,3,512,32,32,1,1,10086.5,3232,3253.5,3229.4,3233.7,3401.3,3285,3398.5,3264.8,3714.9,3403,3503.6,3520.3,3207,3462.4,3388.9
512,3,3,512,32,32,1,1,20203.8,6424.9,6481.2,6419.6,6422.6,6592.3,6512.3,6586.7,6453.1,7426,6591.1,6890.3,6908.1,6378.9,6902.1,6753.4
32,3,3,3,64,64,1,1,45.7333,13.625,13.4625,13.625,13.475,13.925,12.4889,13.925,12.4889,45.5,13.85,13.475,13.6125,22.46,22.84,22.78
64,3,3,3,64,64,1,1,91.25,24.46,24.9,24.44,24.9,24.92,23.78,24.94,23.78,94.45,24.96,24.8,25,41.9667,43.5667,43.1
128,3,3,3,64,64,1,1,182.5,46.8333,48.0667,46.8667,48.0667,47.0667,46.7333,47.0333,46.7333,194.2,47.2667,47.8333,48.0667,82.45,85.2,84.55
256,3,3,3,64,64,1,1,368.3,94.3,93.75,94.25,93.7,94.65,92.6,94.65,92.55,391.9,94.45,96.85,97.15,208.6,215.6,214.3
512,3,3,3,64,64,1,1,736.1,184.8,185,184.8,184.9,185.2,184,185.2,183.8,783.9,184.9,190.5,190.8,387.8,404.7,399.9
32,3,3,32,64,64,1,1,318,113,113.7,113,113.7,154.7,118.8,154.7,118.8,143,157.5,132.5,136.6,120.6,121.6,120.5
64,3,3,32,64,64,1,1,630.4,215.8,216.2,216.1,216.2,257.5,221.2,257.5,221.2,289.8,261.5,239.6,243.7,229.5,235.8,233.2
128,3,3,32,64,64,1,1,1251.3,419,421.5,419.3,421.1,462.1,427,462.2,426.6,584.3,463.7,449.4,453.4,455.8,470.1,465.9
256,3,3,32,64,64,1,1,2496.9,830.4,832.2,830.5,831.5,873.4,837.9,873.3,836.9,1168.9,874.7,874.1,877.8,931.2,966.5,956.5
512,3,3,32,64,64,1,1,5039.9,1649.2,1654.9,1649.3,1652.7,1691.6,1660.1,1691.4,1657.7,2337.2,1694.1,1719.6,1723,1845.7,1922.2,1900.2
32,3,3,64,64,64,1,1,595.2,219.6,221.2,219.7,221.1,309.2,234.4,309.2,234.3,253.2,315.1,266.1,273.6,223.8,226.7,224.5
64,3,3,64,64,64,1,1,1179.6,421.8,422.4,421.9,422.3,513.7,436,513.9,435.9,507.3,519.1,475,482.2,431.9,443.4,438.7
